campaign_id,campaign_type,channel,region,impressions,clicks,conversions,revenue_generated,campaign_cost,customer_acquisition_cost,date
CAMP-00018,Email,Mailchimp,North America,29535,9554,1986,683862.96,3902.71,1.97,2023-11-20
CAMP-00019,Email,Mailchimp,Middle East & Africa,28406,2201,217,23788.89,3464.96,15.97,2023-11-19
CAMP-00020,Influencer,YouTube Influencer,Latin America,30800,1218,21,3779.97,13066.38,622.21,2023-05-27
CAMP-00021,Social Media,LinkedIn,Middle East & Africa,13869,623,14,1348.54,8384.0,598.86,2024-03-14
CAMP-00022,Influencer,YouTube Influencer,Europe,19105,977,27,3637.26,13514.01,500.52,2023-05-22
CAMP-00023,Email,Mailchimp,North America,50643,7703,1292,243128.15,2070.01,1.6,2023-06-06
CAMP-00024,Affiliate,ShareASale,Middle East & Africa,10774,914,101,7611.79,2682.31,26.56,2023-03-07
CAMP-00025,SEO/Content,Organic Search,Middle East & Africa,43372,2614,80,8682.13,2783.65,34.8,2023-09-15
CAMP-00026,Email,HubSpot,North America,86045,27059,6237,1566389.74,3386.34,0.54,2024-11-29
CAMP-00027,Paid Ads,Bing Ads,North America,101140,9912,2035,460200.08,28278.25,13.9,2023-10-28
CAMP-00028,Influencer,Instagram Influencer,Asia Pacific,21861,1962,102,22133.26,29138.52,285.67,2024-05-27
CAMP-00029,SEO/Content,Blog,Asia Pacific,16786,1559,79,11156.72,3724.99,47.15,2024-10-16
CAMP-00030,Social Media,Instagram,Asia Pacific,67729,2617,180,21179.4,11184.03,62.13,2023-06-15
CAMP-00031,SEO/Content,Blog,Middle East & Africa,16500,1515,125,11329.61,4380.86,35.05,2023-11-28
CAMP-00032,Email,SendGrid,Asia Pacific,13409,861,22,3166.16,1180.73,53.67,2023-09-03
CAMP-00033,SEO/Content,Blog,North America,18359,3967,484,78427.08,5730.97,11.84,2024-05-12
CAMP-00034,SEO/Content,Blog,Europe,21115,5088,689,154097.78,7637.88,11.09,2024-11-06
CAMP-00035,SEO/Content,Blog,Asia Pacific,10118,1033,56,9102.34,5087.94,90.86,2024-06-24
CAMP-00036,Influencer,Instagram Influencer,Middle East & Africa,80290,5522,235,25977.35,17508.32,74.5,2024-12-07
CAMP-00037,Paid Ads,YouTube Ads,Asia Pacific,23999,1310,96,31371.22,4215.55,43.91,2024-03-24
CAMP-00038,Influencer,Instagram Influencer,Europe,4098,86,1,223.54,4439.52,4439.52,2023-08-19
CAMP-00039,Email,HubSpot,Middle East & Africa,30817,2608,164,17913.79,951.34,5.8,2023-08-24
CAMP-00040,Email,Mailchimp,North America,32418,1504,102,19919.12,1620.18,15.88,2023-08-23
CAMP-00041,Email,SendGrid,North America,34536,9120,1437,235355.68,2250.77,1.57,2024-06-10
CAMP-00042,Affiliate,ShareASale,Europe,6641,313,10,1581.84,1258.8,125.88,2024-07-06
CAMP-00043,SEO/Content,Content Hub,Latin America,88868,7771,569,83912.43,3375.69,5.93,2023-09-06
CAMP-00044,Influencer,Instagram Influencer,North America,107216,7377,460,22686.11,17607.08,38.28,2023-04-10
CAMP-00045,Paid Ads,YouTube Ads,Latin America,9654,829,30,4298.65,8996.1,299.87,2024-04-23
CAMP-00046,Email,HubSpot,North America,22397,12929,3027,534512.94,5315.83,1.76,2023-03-04
CAMP-00047,Paid Ads,Google Ads,Europe,25944,2446,224,58280.31,16609.42,74.15,2023-07-16
CAMP-00048,Influencer,Instagram Influencer,Latin America,13187,1268,20,2693.75,18401.38,920.07,2023-07-07
CAMP-00049,Social Media,Facebook,Latin America,8266,116,1,83.56,3008.39,3008.39,2024-07-17
CAMP-00050,Affiliate,Rakuten,North America,32494,6427,1093,359026.28,5925.93,5.42,2023-04-06
CAMP-00051,Social Media,Instagram,Latin America,12873,349,11,1072.37,3676.53,334.23,2024-05-12
CAMP-00052,Influencer,Instagram Influencer,Europe,10447,336,5,1040.14,9824.3,1964.86,2024-01-24
CAMP-00053,Influencer,YouTube Influencer,Latin America,58790,4145,140,22941.57,12253.55,87.53,2023-10-20
CAMP-00054,Affiliate,Rakuten,Latin America,24763,1928,171,19995.1,3941.57,23.05,2023-06-08
CAMP-00055,Social Media,Facebook,Middle East & Africa,3601,50,0,0.0,1992.68,1992.68,2024-07-09
CAMP-00056,Paid Ads,Google Ads,North America,22959,2434,226,84047.19,14866.12,65.78,2024-08-21
CAMP-00057,SEO/Content,Blog,North America,7800,365,6,991.47,1192.3,198.72,2024-06-04
CAMP-00058,Social Media,Facebook,Middle East & Africa,16955,407,15,803.85,2589.92,172.66,2023-03-11
CAMP-00059,Social Media,Twitter,North America,32650,1522,117,25859.75,6498.13,55.54,2024-08-06
CAMP-00060,SEO/Content,Blog,Middle East & Africa,10696,1048,50,5187.26,1975.4,39.51,2023-03-25
CAMP-00061,SEO/Content,Content Hub,Middle East & Africa,109076,13948,1101,123932.36,3100.79,2.82,2023-11-20
CAMP-00062,Social Media,LinkedIn,Europe,42612,2037,90,13944.93,8545.1,94.95,2023-09-29
CAMP-00063,Affiliate,Rakuten,Asia Pacific,105545,23437,2434,560348.54,4554.77,1.87,2024-04-13
CAMP-00064,Email,Mailchimp,Latin America,20605,3673,391,23107.04,2189.67,5.6,2024-09-28
CAMP-00065,Email,Mailchimp,Middle East & Africa,19911,2347,213,28469.89,964.79,4.53,2023-08-07
CAMP-00066,Social Media,LinkedIn,North America,54258,1321,103,24273.45,5543.26,53.82,2023-09-08
CAMP-00067,Social Media,Twitter,Middle East & Africa,47835,823,25,1262.93,2340.82,93.63,2024-12-21
CAMP-00068,Affiliate,Rakuten,North America,63807,9339,1875,375252.95,5183.79,2.76,2024-11-14
CAMP-00069,Paid Ads,Google Ads,Europe,19758,691,14,2183.54,5984.6,427.47,2023-09-28
CAMP-00070,Email,HubSpot,Middle East & Africa,12967,2716,219,30625.18,1591.22,7.27,2023-06-09
CAMP-00071,SEO/Content,Blog,Asia Pacific,201682,38172,5378,899381.95,7694.3,1.43,2023-07-28
CAMP-00072,Paid Ads,YouTube Ads,Asia Pacific,16696,467,5,728.83,1237.22,247.44,2023-02-22
CAMP-00073,Influencer,YouTube Influencer,North America,78172,8249,408,149270.88,11367.27,27.86,2023-01-04
CAMP-00074,Social Media,LinkedIn,Europe,24132,747,25,1860.09,4327.38,173.1,2024-03-28
CAMP-00075,Influencer,TikTok Influencer,North America,14635,229,1,226.6,2574.58,2574.58,2023-04-25
CAMP-00076,Affiliate,CJ Affiliate,Middle East & Africa,46050,1915,130,14208.6,1440.38,11.08,2023-02-06
CAMP-00077,SEO/Content,Content Hub,Europe,5403,230,4,1049.79,1376.95,344.24,2024-03-16
CAMP-00078,Paid Ads,Bing Ads,North America,46224,3832,345,118993.59,15796.05,45.79,2024-01-02
CAMP-00079,Social Media,Facebook,Asia Pacific,17884,512,6,469.63,7044.78,1174.13,2024-07-27
CAMP-00080,Influencer,TikTok Influencer,Europe,46191,5046,342,133153.75,33180.21,97.02,2023-08-31
CAMP-00081,Social Media,Twitter,North America,21278,554,36,5313.1,4617.51,128.26,2023-07-03
CAMP-00082,Paid Ads,YouTube Ads,Europe,14097,1566,164,41409.3,15979.57,97.44,2023-10-01
CAMP-00083,Affiliate,CJ Affiliate,Latin America,13009,1352,112,12194.69,2152.94,19.22,2023-02-09
CAMP-00084,Social Media,Instagram,Latin America,8538,310,17,1083.5,5317.4,312.79,2023-12-25
CAMP-00085,Social Media,Instagram,North America,34804,1619,84,15473.45,6798.97,80.94,2024-11-06
CAMP-00086,Paid Ads,Bing Ads,North America,48416,4990,453,115916.51,20429.04,45.1,2023-10-13
CAMP-00087,SEO/Content,Organic Search,Middle East & Africa,14581,1976,170,9508.83,4082.99,24.02,2023-12-06
CAMP-00088,Email,SendGrid,Europe,52610,8190,413,48501.34,2234.44,5.41,2024-08-17
CAMP-00089,Paid Ads,Google Ads,North America,24387,3218,201,59106.17,10577.36,52.62,2024-09-02
CAMP-00090,Affiliate,ShareASale,Latin America,22100,960,49,9015.08,1550.47,31.64,2024-09-12
CAMP-00091,Email,SendGrid,Middle East & Africa,10669,1973,246,10151.34,1324.67,5.38,2023-07-14
CAMP-00092,Affiliate,ShareASale,North America,45921,7591,924,257712.61,4537.84,4.91,2024-06-16
CAMP-00093,SEO/Content,Content Hub,Europe,63259,14850,1479,228572.54,4946.89,3.34,2024-01-08
CAMP-00094,Affiliate,ShareASale,Middle East & Africa,22221,2069,287,44037.4,2473.94,8.62,2023-11-18
CAMP-00095,Email,HubSpot,Asia Pacific,30661,3067,300,25869.88,2512.47,8.37,2024-06-03
CAMP-00096,Influencer,YouTube Influencer,Latin America,126935,7645,261,44116.62,4924.33,18.87,2024-12-14
CAMP-00097,Social Media,Instagram,Latin America,64835,1390,89,9460.09,5398.72,60.66,2024-11-11
CAMP-00098,Affiliate,Rakuten,Europe,284568,38232,5233,1070001.49,3037.44,0.58,2024-09-22
CAMP-00099,Influencer,TikTok Influencer,North America,37364,4673,326,94909.58,35921.6,110.19,2023-11-08
CAMP-00100,Influencer,TikTok Influencer,Middle East & Africa,23721,1284,35,3733.49,17496.15,499.89,2024-11-01
CAMP-00101,Influencer,YouTube Influencer,Europe,22717,2248,165,40051.92,32715.57,198.28,2024-06-07
CAMP-00102,Affiliate,CJ Affiliate,North America,14067,687,104,33036.69,3299.31,31.72,2023-10-18
CAMP-00103,Affiliate,Rakuten,Asia Pacific,15634,2871,315,61163.2,4127.78,13.1,2023-04-06
CAMP-00104,Social Media,LinkedIn,Europe,17031,203,4,905.83,3522.21,880.55,2023-07-23
CAMP-00105,Email,Mailchimp,Latin America,23614,3575,404,51613.16,3120.26,7.72,2024-09-17
CAMP-00106,Email,SendGrid,Latin America,49853,4219,178,16753.13,500.0,2.81,2024-10-06
CAMP-00107,Affiliate,Rakuten,Latin America,32503,1681,86,11580.75,4053.37,47.13,2024-05-21
CAMP-00108,Social Media,Facebook,North America,14589,722,44,2608.83,8418.66,191.33,2024-03-11
CAMP-00109,Affiliate,Rakuten,Latin America,41807,4287,378,51830.73,1410.02,3.73,2023-02-21
CAMP-00110,Email,SendGrid,Europe,75714,33260,7878,1637089.33,4565.58,0.58,2024-04-20
CAMP-00111,SEO/Content,Content Hub,Asia Pacific,19883,2504,142,16803.93,3500.38,24.65,2024-03-29
CAMP-00112,Affiliate,Rakuten,Latin America,79272,1063,92,17737.01,792.71,8.62,2024-07-15
CAMP-00113,Social Media,Twitter,Latin America,17267,255,6,424.75,6249.48,1041.58,2023-09-23
CAMP-00114,Affiliate,ShareASale,Middle East & Africa,74355,6696,327,35799.18,2716.94,8.31,2024-05-11
CAMP-00115,Paid Ads,YouTube Ads,North America,75396,6568,615,216568.72,15960.89,25.95,2024-12-31
CAMP-00116,Paid Ads,Bing Ads,Asia Pacific,29233,503,17,4040.78,3466.15,203.89,2024-07-07
CAMP-00117,Social Media,Instagram,Latin America,13136,660,30,2555.8,8281.12,276.04,2024-12-11
CAMP-00118,Social Media,Facebook,Latin America,6787,83,2,133.26,5634.29,2817.14,2024-02-22
CAMP-00119,Influencer,YouTube Influencer,North America,87952,3497,84,18864.74,11168.26,132.96,2023-07-31
CAMP-00120,Influencer,TikTok Influencer,North America,113046,9033,486,114873.49,20252.3,41.67,2024-08-12
CAMP-00121,Email,SendGrid,Asia Pacific,8961,1137,161,27196.13,2197.82,13.65,2024-02-04
CAMP-00122,Influencer,TikTok Influencer,Middle East & Africa,28906,876,16,2014.01,6813.54,425.85,2024-09-09
CAMP-00123,Influencer,Instagram Influencer,Asia Pacific,10148,869,43,8235.42,22603.04,525.65,2024-03-22
CAMP-00124,Influencer,YouTube Influencer,Latin America,81057,2158,52,6142.83,15987.5,307.45,2023-06-19
CAMP-00125,Social Media,Facebook,Latin America,16065,536,16,1328.29,2924.56,182.78,2024-08-29
CAMP-00126,Email,Mailchimp,Latin America,6631,555,47,4516.41,2312.74,49.21,2023-05-19
CAMP-00127,Social Media,Facebook,Asia Pacific,42565,1278,78,8413.66,6707.21,85.99,2024-01-24
CAMP-00128,Influencer,YouTube Influencer,Asia Pacific,49637,5911,275,49067.02,36162.23,131.5,2024-01-24
CAMP-00129,Influencer,YouTube Influencer,North America,45690,980,9,2709.96,6100.04,677.78,2024-04-26
CAMP-00130,SEO/Content,Blog,Asia Pacific,10753,1311,100,14132.04,4934.16,49.34,2023-08-18
CAMP-00131,Affiliate,CJ Affiliate,North America,16942,2562,411,127905.54,5753.54,14.0,2023-09-11
CAMP-00132,Email,HubSpot,Europe,22178,2020,51,11182.57,1078.37,21.14,2023-09-02
CAMP-00133,Affiliate,CJ Affiliate,Middle East & Africa,8378,362,30,3742.62,2469.55,82.32,2023-08-12
CAMP-00134,Paid Ads,Bing Ads,Europe,41199,4678,394,102077.38,11449.88,29.06,2024-09-12
CAMP-00135,Affiliate,Rakuten,North America,32860,4061,402,144199.55,2712.93,6.75,2023-06-17
CAMP-00136,Email,HubSpot,North America,41154,20918,4282,1260461.96,2143.33,0.5,2023-11-16
CAMP-00137,Influencer,YouTube Influencer,Europe,95506,7579,516,98839.35,29384.5,56.95,2023-03-19
CAMP-00138,Affiliate,CJ Affiliate,North America,72297,16668,6369,2425352.13,7180.29,1.13,2024-12-14
CAMP-00139,Affiliate,Rakuten,North America,33723,2340,197,40280.08,2865.45,14.55,2024-08-02
CAMP-00140,Paid Ads,YouTube Ads,Asia Pacific,42985,4944,305,78671.3,11020.94,36.13,2023-03-12
CAMP-00141,Paid Ads,Google Ads,Latin America,21538,394,13,2180.1,4760.88,366.22,2024-05-16
CAMP-00142,Paid Ads,YouTube Ads,Europe,335930,28197,2768,591207.05,12975.1,4.69,2024-03-21
CAMP-00143,SEO/Content,Content Hub,Asia Pacific,71130,11512,577,65798.31,3454.35,5.99,2024-09-22
CAMP-00144,SEO/Content,Organic Search,Latin America,39991,4223,122,18950.28,4085.09,33.48,2024-03-22
CAMP-00145,SEO/Content,Organic Search,Asia Pacific,20296,2519,168,28174.88,4886.92,29.09,2023-09-09
CAMP-00146,Email,SendGrid,Latin America,12828,1106,69,8622.0,2470.13,35.8,2023-09-07
CAMP-00147,SEO/Content,Content Hub,Latin America,13235,601,19,3472.33,1024.72,53.93,2023-12-11
CAMP-00148,Paid Ads,Meta Ads,Latin America,51438,3045,261,48155.31,6577.55,25.2,2023-08-06
CAMP-00149,Paid Ads,Bing Ads,Asia Pacific,91065,9377,1004,263249.22,16742.71,16.68,2024-09-02
CAMP-00150,Paid Ads,Google Ads,Middle East & Africa,28737,1028,45,8083.11,4266.25,94.81,2023-07-15
CAMP-00151,Affiliate,ShareASale,Latin America,20268,1562,165,25413.78,2480.54,15.03,2024-07-22
CAMP-00152,Affiliate,ShareASale,Latin America,33529,2034,170,23067.16,1733.25,10.2,2024-04-03
CAMP-00153,Email,SendGrid,Europe,149904,37436,5689,1297609.0,2961.6,0.52,2024-02-19
CAMP-00154,Paid Ads,Bing Ads,Latin America,26377,1734,67,11145.59,5895.1,87.99,2024-07-20
CAMP-00155,Influencer,TikTok Influencer,Middle East & Africa,10876,550,24,4007.18,15888.83,662.03,2023-12-05
CAMP-00156,Influencer,YouTube Influencer,Asia Pacific,126770,3334,35,6993.02,10533.45,300.96,2023-09-15
CAMP-00157,Affiliate,CJ Affiliate,Asia Pacific,42896,3085,171,21974.46,2706.06,15.82,2023-05-03
CAMP-00158,Affiliate,CJ Affiliate,Europe,42898,8524,740,105746.68,3242.75,4.38,2023-08-10
CAMP-00159,Paid Ads,Bing Ads,North America,56702,5407,691,141964.17,22102.03,31.99,2023-07-18
CAMP-00160,Paid Ads,Meta Ads,Asia Pacific,78254,6085,548,129594.03,11998.98,21.9,2023-01-15
CAMP-00161,Social Media,LinkedIn,North America,158687,10142,927,164929.08,13828.97,14.92,2023-02-25
CAMP-00162,Affiliate,CJ Affiliate,Latin America,98139,6203,226,34285.97,1629.04,7.21,2023-04-16
CAMP-00163,SEO/Content,Organic Search,Latin America,18251,2008,58,5761.45,924.49,15.94,2024-05-05
CAMP-00164,Social Media,Facebook,Asia Pacific,14106,147,1,95.54,1333.65,1333.65,2024-05-04
CAMP-00165,Email,SendGrid,Latin America,11059,2715,316,37616.52,1861.23,5.89,2023-03-17
CAMP-00166,Affiliate,CJ Affiliate,Europe,8206,879,80,13852.52,3391.07,42.39,2023-06-02
CAMP-00167,Paid Ads,Google Ads,Europe,96678,10218,1718,586712.86,24439.49,14.23,2023-05-02
CAMP-00168,Influencer,TikTok Influencer,Middle East & Africa,13179,582,15,2202.84,11599.68,773.31,2024-09-25
CAMP-00169,SEO/Content,Organic Search,Latin America,23004,4679,385,65491.31,3084.25,8.01,2024-03-29
CAMP-00170,SEO/Content,Organic Search,Asia Pacific,54908,8552,754,99880.49,5819.28,7.72,2024-08-05
CAMP-00171,SEO/Content,Content Hub,North America,33733,7383,1426,424708.78,6649.32,4.66,2023-08-01
CAMP-00172,Paid Ads,Google Ads,Europe,44390,4669,323,76460.86,6655.04,20.6,2023-09-03
CAMP-00173,Email,Mailchimp,North America,87138,23435,5919,960610.54,1923.94,0.33,2024-02-23
CAMP-00174,SEO/Content,Organic Search,Asia Pacific,79770,17118,1122,205138.08,3758.08,3.35,2023-02-03
CAMP-00175,Affiliate,ShareASale,Latin America,54254,4779,185,37233.63,3333.8,18.02,2023-03-14
CAMP-00176,Paid Ads,Meta Ads,Latin America,32377,1931,121,16800.88,6224.37,51.44,2023-04-28
CAMP-00177,Affiliate,CJ Affiliate,Asia Pacific,32271,1305,40,9018.51,500.0,12.5,2023-05-26
CAMP-00178,Social Media,LinkedIn,Middle East & Africa,6973,191,4,227.25,6664.14,1666.04,2024-08-05
CAMP-00179,Influencer,Instagram Influencer,Latin America,38505,1830,67,9560.15,7908.72,118.04,2024-12-06
CAMP-00180,Influencer,YouTube Influencer,Middle East & Africa,18334,439,11,1815.25,15049.55,1368.14,2024-07-06
CAMP-00181,Email,HubSpot,North America,35848,9301,2364,605995.38,3537.03,1.5,2024-03-18
CAMP-00182,SEO/Content,Organic Search,North America,79054,19667,2662,543784.67,7112.98,2.67,2023-04-04
CAMP-00183,Affiliate,Rakuten,Middle East & Africa,26845,2322,160,20556.32,908.93,5.68,2023-01-22
CAMP-00184,Affiliate,ShareASale,Middle East & Africa,35335,3385,32,6137.08,2261.01,70.66,2023-02-11
CAMP-00185,Social Media,Twitter,Middle East & Africa,12110,439,11,779.91,7719.7,701.79,2024-10-29
CAMP-00186,Paid Ads,Meta Ads,Middle East & Africa,27162,1722,111,15894.03,8368.26,75.39,2024-03-22
CAMP-00187,Influencer,Instagram Influencer,Latin America,50520,4682,358,63972.24,31608.78,88.29,2023-12-23
CAMP-00188,Paid Ads,Google Ads,Europe,24134,4770,467,127090.17,15397.09,32.97,2023-12-04
CAMP-00189,Influencer,YouTube Influencer,Latin America,16269,368,5,982.4,6259.93,1251.99,2024-07-17
CAMP-00190,Email,SendGrid,Asia Pacific,25808,2531,63,11730.27,954.64,15.15,2023-11-28
CAMP-00191,Influencer,TikTok Influencer,North America,170755,15305,993,247009.08,25145.45,25.32,2024-11-04
CAMP-00192,Influencer,YouTube Influencer,North America,10829,906,25,4888.99,5344.92,213.8,2023-07-12
CAMP-00193,SEO/Content,Organic Search,Latin America,7411,975,59,5471.18,3942.54,66.82,2023-02-22
CAMP-00194,SEO/Content,Blog,Asia Pacific,34529,1597,265,24903.48,2497.44,9.42,2024-03-24
CAMP-00195,Influencer,Instagram Influencer,North America,417405,57857,4416,1318878.29,32804.06,7.43,2024-10-07
CAMP-00196,Social Media,Instagram,Asia Pacific,18936,325,6,613.5,2440.6,406.77,2024-07-18
CAMP-00197,Influencer,Instagram Influencer,Europe,23426,689,12,2758.73,15829.06,1319.09,2023-04-27
CAMP-00198,Email,HubSpot,Europe,13982,2925,608,90815.06,3027.34,4.98,2024-05-25
CAMP-00199,Paid Ads,Bing Ads,Latin America,13326,875,37,5061.41,10471.77,283.02,2024-05-09
CAMP-00200,Social Media,Twitter,Middle East & Africa,18650,267,5,443.51,3256.37,651.27,2023-05-29
CAMP-00201,SEO/Content,Content Hub,Europe,32142,6237,724,128980.49,5052.31,6.98,2023-03-13
CAMP-00202,Influencer,YouTube Influencer,Middle East & Africa,10571,181,5,413.42,6269.87,1253.97,2023-10-01
CAMP-00203,Paid Ads,Bing Ads,Middle East & Africa,36576,1312,79,9066.4,6401.26,81.03,2024-08-16
CAMP-00204,Influencer,Instagram Influencer,Latin America,111881,2393,57,9244.38,9961.03,174.75,2024-07-05
CAMP-00205,Paid Ads,YouTube Ads,Latin America,28407,1998,149,29769.62,17320.39,116.24,2023-11-26
CAMP-00206,Affiliate,CJ Affiliate,Middle East & Africa,6268,315,28,2819.16,2464.95,88.03,2024-01-28
CAMP-00207,Influencer,Instagram Influencer,Asia Pacific,32772,3234,270,43993.6,21110.52,78.19,2024-04-29
CAMP-00208,Influencer,YouTube Influencer,Europe,15159,688,16,3549.99,11566.35,722.9,2024-05-22
CAMP-00209,Social Media,LinkedIn,North America,3874,63,1,91.29,2636.98,2636.98,2024-03-26
CAMP-00210,Influencer,Instagram Influencer,Europe,19836,2569,166,30083.24,22616.91,136.25,2024-02-24
CAMP-00211,Social Media,Facebook,Latin America,30785,1141,32,3268.78,2940.08,91.88,2023-09-29
CAMP-00212,Affiliate,ShareASale,North America,28952,3707,834,289799.92,6218.41,7.46,2023-12-03
CAMP-00213,SEO/Content,Organic Search,Asia Pacific,18445,2468,134,30484.45,2925.7,21.83,2024-10-03
CAMP-00214,Influencer,TikTok Influencer,North America,10402,238,3,918.08,7553.3,2517.77,2024-09-24
CAMP-00215,Affiliate,Rakuten,Asia Pacific,9053,294,24,3284.78,819.49,34.15,2023-08-21
CAMP-00216,Influencer,Instagram Influencer,North America,418647,39337,3089,819570.11,24357.95,7.89,2024-03-30
CAMP-00217,Paid Ads,Google Ads,North America,59834,10746,2204,548928.77,32362.09,14.68,2023-11-29
CAMP-00218,Paid Ads,Bing Ads,Asia Pacific,6639,206,4,833.83,4005.3,1001.33,2024-03-17
CAMP-00219,SEO/Content,Organic Search,Middle East & Africa,52652,7773,768,99352.31,4630.85,6.03,2024-11-29
CAMP-00220,Social Media,Instagram,North America,16572,587,34,5245.08,7873.65,231.58,2024-09-16
CAMP-00221,SEO/Content,Content Hub,Europe,61890,10137,1036,185275.0,1817.77,1.75,2024-05-24
CAMP-00222,Social Media,Instagram,Latin America,17333,236,7,948.52,4681.3,668.76,2024-10-15
CAMP-00223,Paid Ads,Google Ads,Latin America,79305,4391,235,32032.98,7230.22,30.77,2023-10-22
CAMP-00224,Social Media,Facebook,Latin America,34198,1178,48,5217.84,7137.23,148.69,2023-12-20
CAMP-00225,Paid Ads,YouTube Ads,Asia Pacific,13562,310,43,5859.35,13708.95,318.81,2024-04-12
CAMP-00226,Social Media,Twitter,Latin America,4679,118,3,251.63,776.38,258.79,2023-04-20
CAMP-00227,SEO/Content,Organic Search,Middle East & Africa,25739,1112,48,4590.36,2432.38,50.67,2023-10-30
CAMP-00228,Paid Ads,Google Ads,Latin America,6009,235,7,1119.31,3114.49,444.93,2023-10-09
CAMP-00229,Affiliate,Rakuten,North America,20682,2266,396,71029.63,1908.42,4.82,2024-09-12
CAMP-00230,Paid Ads,Meta Ads,Middle East & Africa,32770,2235,281,32906.86,19815.81,70.52,2023-12-27
CAMP-00231,Social Media,LinkedIn,Europe,10060,271,4,730.28,2854.85,713.71,2024-10-05
CAMP-00232,Affiliate,Rakuten,North America,283701,64158,11123,3385764.44,5710.6,0.51,2023-11-13
CAMP-00233,Email,HubSpot,Asia Pacific,21313,2196,146,15686.44,894.72,6.13,2023-05-15
CAMP-00234,Paid Ads,Bing Ads,Latin America,19540,975,92,19202.66,13276.35,144.31,2023-06-29
CAMP-00235,SEO/Content,Organic Search,Middle East & Africa,14854,957,83,7325.22,2772.06,33.4,2024-05-28
CAMP-00236,Social Media,LinkedIn,Latin America,52840,2240,172,14144.21,7628.66,44.35,2023-10-30
CAMP-00237,Paid Ads,Google Ads,Latin America,15981,661,24,4383.99,5630.48,234.6,2023-03-19
CAMP-00238,Social Media,Twitter,Middle East & Africa,5902,51,0,0.0,1361.91,1361.91,2024-01-10
CAMP-00239,Influencer,Instagram Influencer,Asia Pacific,9622,208,3,656.16,4364.86,1454.95,2024-07-03
CAMP-00240,Paid Ads,Bing Ads,Middle East & Africa,26174,1114,85,13169.78,8420.2,99.06,2024-01-26
CAMP-00241,Paid Ads,Google Ads,Europe,37884,1303,29,8070.13,3939.31,135.84,2024-04-27
CAMP-00242,SEO/Content,Organic Search,Middle East & Africa,30228,3238,135,13960.62,3146.46,23.31,2023-08-15
CAMP-00243,Affiliate,ShareASale,Asia Pacific,277737,30996,1395,313310.57,3402.48,2.44,2024-10-26
CAMP-00244,Social Media,Facebook,North America,139072,11916,842,145236.11,10653.87,12.65,2023-11-08
CAMP-00245,Email,Mailchimp,Europe,17400,1719,69,9577.46,813.87,11.8,2024-07-04
CAMP-00246,Influencer,YouTube Influencer,Middle East & Africa,19117,943,32,3086.5,16387.26,512.1,2024-03-05
CAMP-00247,Affiliate,CJ Affiliate,Latin America,17241,429,12,2082.57,964.65,80.39,2024-11-01
CAMP-00248,Influencer,TikTok Influencer,Latin America,13218,424,10,903.57,3782.43,378.24,2023-10-14
CAMP-00249,Paid Ads,Meta Ads,Latin America,47495,1510,114,15764.95,6032.19,52.91,2024-03-31
CAMP-00250,Paid Ads,Google Ads,Asia Pacific,225391,36390,5564,1446613.49,17623.61,3.17,2024-07-11
CAMP-00251,Affiliate,ShareASale,North America,36287,4252,659,172252.65,4293.8,6.52,2024-02-12
CAMP-00252,Email,SendGrid,North America,154735,69337,23827,3984140.95,4485.47,0.19,2024-11-09
CAMP-00253,Affiliate,Rakuten,North America,8704,905,93,34995.24,4060.68,43.66,2023-02-21
